OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
1,eez,1,Cocos Islands,CCK,470116.6006,96.97,90.28,97.62,92.76,88.77,100,30.28,30.28,97.59,73.23,80,96.35,92.7,0,0,0,36.61,82.97,90.33,-0.39,4.85E+11,2479766.555
2,eez,10,Nauru,NRU,310565.1472,59.2,82.94,97.09,0,44.57,72.45,70.28,70.28,91.02,68.21,66.68,74.25,76.06,0,0.05,0,34.1,74.87,71.01,-0.49,3.03E+11,2088412.759
3,eez,100,Republique du Congo,COG,39863.59682,53.71,87.2,0,0,47.51,96.45,52.09,52.09,99.09,66.3,50.95,76.53,56.61,100,0,0,83.15,75.31,7.43,0.19,40541257800,960233.3968
4,eez,101,Namibia,NAM,562727.6224,88.4,90.33,0,0,83.3,52.34,38.99,38.73,100,64.59,62.18,76.17,100,100,13.17,10.94,82.29,80.67,27.28,-0.2,6.70E+11,4124300.768
5,eez,102,South Africa,ZAF,1069377.88,77.5,88.04,99.63,99.82,54.28,100,34.45,31.64,95.16,71.1,68.77,100,100,93.23,2.11,11.81,82.16,80.92,42.84,-0.14,1.54E+12,7910920.939
6,eez,103,Sao Tome and Principe,STP,131709.1754,46.22,85.04,0,0,56.1,100,38.7,38.7,94.14,56.12,55.51,100,100,29.87,0,0,43,75.93,75.02,-0.11,1.33E+11,1827663.324
7,eez,104,Equatorial Guinea,GNQ,310365.4139,64.09,82.43,93.69,93.53,57.83,18.62,60.55,60.55,89.98,59.65,55.78,12.84,7.07,87.24,0,0,73.44,74.88,19.44,-2.15,3.05E+11,3297805.594
8,eez,105,Bouvet Island,BVT,440224.3205,84.83,94.45,0,0,98.91,0,75.37,0,100,44.7,75.14,0,0,0,0,0,22.35,88.91,0,0.61,1.29E+12,4043140.093
9,eez,106,Ghana,GHA,226758.075,47.64,83.99,99.86,99.77,31.27,100,52.75,52.75,89.66,70.58,62.17,94.68,89.35,2.7,0,60.28,36.64,78.31,14.81,0.24,2.24E+11,1985712.597
10,eez,107,Clipperton Island,CPT,433990.2908,87.47,87.7,0,0,86.16,0,94.2,94.2,100,70.5,78.16,0,0,0,0,0,35.25,75.4,0,-0.01,4.44E+11,2371093.161
11,eez,108,Bermuda,BMU,451643.0818,99.22,81.86,53.59,98.49,59.9,54.5,70.03,70.03,88.59,70.22,72.5,59.41,64.32,2.62,0,0,36.42,75.14,93.54,-0.56,6.25E+11,2815775.756
12,eez,11,Marshall Islands,MHL,2004592.565,55.03,87.62,97.18,86.66,54.45,41.65,71.39,71.39,96.99,63.76,63.5,59.46,77.26,37.84,0,3.83,50.8,78.24,68.55,-2.08,2.07E+12,6151827.6
13,eez,110,Bahamas,BHS,597705.143,90.26,87.76,55.45,99.71,61.37,96.38,63.62,63.62,85.31,73.85,78.5,83.11,69.83,92.06,0,60.77,82.96,90.2,100,-0.01,7.29E+11,6807562.965
14,eez,111,Turks and Caicos Islands,TCA,154242.0594,85.2,87.2,69.29,73.62,63.31,95.47,64.06,64.06,87.17,81.25,77.08,95.01,94.55,60.57,0.01,62.23,70.91,87.23,100,1.21,1.79E+11,1866706.919
15,eez,112,Cuba,CUB,365755.7619,89.85,84.55,67.45,100,56.9,89.44,30.33,27.14,79.88,71.56,69.15,93.02,96.59,100,2.22,82.85,85.78,89.22,3.99,0.5,4.37E+11,7831678.738
16,eez,113,Cayman Islands,CYM,119605.4659,99.62,86.44,62.85,91.27,61.67,100,26.06,26.06,85.89,71.69,67.77,100,100,31.17,0,0,51.43,86.98,98.38,-1.17,1.33E+11,1484601.196
17,eez,114,Haiti,HTI,123867.2188,50.07,78.96,65.32,95.31,37.32,93.83,12.79,12.79,75.89,72.22,51.54,96.92,100,6.98,0,35,39.6,82.02,4.08,-0.45,1.38E+11,2859585.345
18,eez,115,Dominican Republic,DOM,270774.1801,73.81,89.36,96.05,86.35,49.1,98.77,43.71,42.51,91.79,74.98,65.4,83.22,67.66,100,0.24,3.41,87.49,86.94,42.71,-1.02,3.01E+11,3682809.225
19,eez,116,Puerto Rico and Virgin Islands of the United States,PRI-VIR,212193.3294,94.23,90.47,83.46,100,54.14,92.15,50.21,50.21,94.72,71.97,73.52,73.29,54.43,71.87,0,0,71.92,86.23,43.99,0.38,2.35E+11,2800936.228
20,eez,117,British Virgin Islands,VGB,80529.49902,84.63,86.67,56.64,72.92,58.56,81.91,39.68,39.68,86.57,74.52,68.72,75.06,68.21,14.12,0,0,44.32,86.78,100,0.08,92871966628,1326408.13
21,eez,118,Anguilla,AIA,92653.58715,84.44,86.42,60.45,72.52,64.25,85.82,19.38,19.38,86.38,80.86,66.71,61.83,37.85,21.38,0,0,51.12,86.46,100,-0.19,1.02E+11,1336552.967
22,eez,119,Saint Kitts and Nevis,KNA,10262.90314,86.62,92.19,78.66,97.47,56.57,81.68,25.85,25.85,94.04,72.07,65.12,58.31,34.94,0,0,0,36.04,90.35,54.38,-0.27,12015079403,458888.3313
23,eez,12,Wake Island,UMI,409374.3183,93.71,77.15,76.21,0,71.11,69.14,84.02,84.02,78.13,56.71,79.11,73.19,77.23,100,0,0,78.35,76.18,0,-0.13,4.56E+11,2437596.353
24,eez,120,Antigua and Barbuda,ATG,108492.4162,81.33,87.7,81.46,99.94,62.06,88,29.75,29.75,88.94,73.75,79.16,94,100,78.74,0,0,76.25,86.46,100,0.2,1.19E+11,1607010.716
25,eez,121,Montserrat,MSR,7628.265231,84.67,92.47,73.25,73.44,69.44,85.66,36.44,36.44,92.89,75.33,73.15,91.01,96.36,0,0,0,37.66,92.05,100,0.28,7920777696,393874.2586
26,eez,122,Saint Lucia,LCA,15560.30727,77.84,83.02,74.64,56.54,54.59,72.74,31.67,31.67,75.18,78.07,58.77,60.26,47.78,20.21,0,0,49.14,90.86,100,-0.11,18363060900,813934.7194
27,eez,123,Dominica,DMA,28749.16949,74.9,75.21,26.53,26.7,57.74,91.17,16.98,16.98,62.03,80.2,50.54,84.28,77.38,11.74,0,0,45.97,88.4,97.13,0.36,31457160125,1379893.397
28,eez,124,Barbados,BRB,185019.8178,71.06,82.58,69.42,26.97,62.26,72.96,58.22,58.22,79.94,72.64,58.34,71.71,70.45,8.66,0,0.5,40.65,85.22,100,0.05,1.92E+11,1719284.559
29,eez,125,Grenada,GRD,26281.50662,67.47,79.29,59.84,46.96,55.54,71.11,42.3,42.3,67.69,70.09,59.98,85.55,100,16.57,0,0,43.33,90.9,59.55,0.55,27464529792,832993.2295
30,eez,126,Trinidad and Tobago,TTO,75798.46512,84.58,91.66,87.86,94.73,61.33,82.08,38.51,38.51,93.83,73.34,62.55,85.12,88.17,23.19,0,4.77,48.27,89.49,28.71,-1.91,79847322962,1713822.991
31,eez,127,Saint Vincent and the Grenadines,VCT,36510.95242,63.98,91.47,74.76,92.07,61.01,22.05,32.95,32.95,92.41,78.37,57.13,27.17,32.3,30.42,0,25.5,54.39,90.53,48.02,0.64,37323317398,959277.3221
32,eez,129,Panama,PAN,332643.5476,77.52,80.19,65.79,42.96,63.39,100,55.52,50.68,72.3,68.98,64.99,100,100,48.54,8.99,45.14,58.76,88.08,65.45,0.46,3.43E+11,4687123.39
33,eez,13,Northern Mariana Islands and Guam,MNP,976202.872,85.72,88.09,97.46,92.66,61.72,48.43,76.55,76.15,98.55,61.95,76.81,63.58,78.73,42.04,0.74,0,51.99,77.64,73.94,-0.53,1.06E+12,4166588.528
34,eez,130,Costa Rica,CRI,576132.3967,70.34,88.68,77.32,68.85,70.3,100,32.5,29,94.11,70.16,62.06,76.22,52.44,57.97,7.03,18.78,64.07,83.25,57.01,-0.03,5.81E+11,4086734.65
35,eez,131,Nicaragua,NIC,223935.2361,57.02,78.72,30.13,9.76,66.6,100,35.09,38.35,68.53,67.19,45.3,79.55,59.1,100,47.17,2.33,83.6,88.92,6.92,-0.76,2.38E+11,4788861.604
36,eez,132,Colombia,COL,730703.1023,69.2,75.82,81.32,71.51,61.14,100,30.42,28.77,65.99,67.29,56.24,80.44,60.89,66.25,0.84,2.96,66.77,85.65,24.46,-0.75,7.57E+11,7816847.809
37,eez,133,Honduras,HND,219971.1483,56.13,89.33,95.48,88.29,58.47,100,41.94,36.28,89.48,71.74,65.55,94,88.01,100,28.99,44.46,85.87,89.18,7.17,0.19,2.41E+11,2811692.19
38,eez,134,El Salvador,SLV,94238.04992,72.6,84.17,62.75,62.48,45.05,100,29.96,28.29,83.5,60.87,52.15,71.13,42.25,98.15,0.8,10.79,79.51,84.83,4.74,-0.67,97045019054,1406603.473
39,eez,135,Mexico,MEX,3284659.723,70.78,87,81.19,75.69,63.48,100,34.56,33.3,90.74,65.69,68.29,72.89,45.79,100,18.16,29.33,82.85,83.27,86.33,-0.48,3.82E+12,21124165.76
40,eez,136,Guatemala,GTM,118336.3536,58.53,90.06,96.55,96.23,32.11,100,39.42,26.84,98.52,71.98,59.04,100,100,92.51,16.31,4.01,82.24,81.6,3.87,-1.11,1.21E+11,1659903.64
41,eez,137,Ecuador,ECU,1079918.447,69.01,87.13,81.85,78.35,66.88,100,54.43,76.43,95.6,65.63,72.12,100,100,100,100,56.88,82.81,78.66,21.85,0.59,1.08E+12,6998600.227
42,eez,138,Peru,PER,838324.3625,76.28,76.38,56.18,56.07,57.16,45.42,62.74,62.42,77.75,67.82,58.16,63.12,80.82,47.34,21.47,52.22,57.58,75.01,24.2,-0.11,8.72E+11,5710828.096
43,eez,139,Venezuela,VEN,473325.1149,77.2,84.38,80.56,87.51,61.58,95.69,41.19,37.98,85.22,65.03,60.23,82.98,70.28,79.07,4.32,15.5,72.05,83.55,2.57,0.23,4.98E+11,7204005.83
44,eez,14,Taiwan,TWN,342997.0201,88.19,93.21,97.89,95.63,41.77,96.85,43.67,41.93,95.32,65.46,65.46,92.06,87.26,23.51,33.84,32.27,44.48,91.1,27.2,-0.44,3.94E+11,4456659.938
45,eez,140,Guadeloupe and Martinique,GLP-MTQ,138683.4047,87.97,92.16,96.41,99.94,71.31,32.79,18.16,18.05,94.98,75.25,72.6,65.51,98.24,100,0.18,0,87.63,89.34,34.39,0.09,1.51E+11,3343768.361
46,eez,141,Faeroe Islands,FRO,266720.4834,97.03,89.81,0,0,74.09,90.64,56.82,66.75,100,76.03,67.79,88.19,85.75,8.91,100,36.76,42.47,79.62,47.17,0.77,1.26E+12,5009341.624
47,eez,143,Iceland,ISL,752783.4147,98.1,70.65,0,0,79.3,43.77,65,65.57,60.91,58.22,69.45,64.4,85.03,39.48,100,39.08,48.85,80.39,89.63,0.39,4.18E+12,16844477.82
48,eez,144,Jan Mayen,SJM,291233.6912,96.18,56.94,0,0,92.58,90.64,65.43,65.43,37.62,75,81.14,88.19,85.75,100,0,0,87.5,76.26,0,-0.5,2.79E+12,6645052.547
49,eez,145,Greenland,GRL,2264464.44,97.03,89.54,94.69,0,94.44,100,62.05,62.05,93.72,65.46,74.23,100,100,99.34,0,0,82.4,85.37,47.93,0.06,5.77E+13,164258286.6
50,eez,146,Pitcairn,PCN,839476.2228,73.65,90.58,100,0,85.43,73.04,89.1,89.1,100,75.21,84.92,81.16,89.28,71.3,0,0,73.26,81.17,86.18,1.53,1.01E+12,3920713.07
51,eez,147,French Polynesia,PYF,4795467.775,65.95,89.53,99.57,91.63,87.02,46.41,55.48,54.18,97.59,66.96,78.14,73.2,100,0,27.11,98.03,33.48,81.48,88.85,0.28,5.39E+12,11692343.35
52,eez,148,Line Group,KIR,1655965.584,60.67,88.03,100,0,87.4,68.38,62.59,62.59,100,59.82,71.89,74.05,79.72,0,0,0,29.91,76.07,72.44,-0.86,1.67E+12,7513727.894
53,eez,149,Jarvis Island,UMI,318799.1039,93.71,83.97,0,0,98.38,0,48.7,48.7,91.24,57.35,80.69,0,0,100,0,0,78.67,76.7,0,-0.67,3.13E+11,2048144.603
54,eez,15,Philippines,PHL,1835027.879,64.44,84.81,92.39,68.68,52.6,46.76,68.02,59.46,83.59,61.88,66.25,45.21,43.67,36.82,13.84,92.37,49.35,86.03,53.2,1.18,1.95E+12,19263947.35
55,eez,150,Palmyra Atoll,UMI,353242.0592,93.71,84.54,76.42,0,92.88,0,48.96,48.96,92.7,57.02,79.17,0,0,100,0,0,78.51,76.39,0,-0.53,3.50E+11,2258667.943
56,eez,151,American Samoa,ASM,406815.936,85.86,87.96,95.63,94.17,56.59,72.76,42.16,42.16,97.82,62.32,77.3,85.98,99.2,68.81,0,0,65.56,78.1,81.81,0.44,4.30E+11,3143358.334
57,eez,152,Samoa,WSM,132305.5677,74.3,89.86,95.46,90.53,91.29,82.19,12.46,12.46,96.38,67.88,66.13,42.86,3.52,2.83,0,44.65,35.35,83.34,84.5,1.37,1.41E+11,1923599.316
58,eez,153,Cook Islands,COK,1972842.717,79.87,82.46,92.51,53.99,92.79,58.46,46.19,46.15,85.18,66.5,69.57,47.15,35.84,100,1.01,30.04,83.25,79.75,87.49,0.48,2.12E+12,7310178.931
59,eez,154,Niue,NIU,318243.7539,77.98,80.88,85.86,52.75,85.28,33.28,35.64,35.64,84.02,66.39,68.09,57.62,81.96,38.61,0,0,52.5,77.75,84.27,0.2,3.56E+11,2243702.413
60,eez,155,Tonga,TON,668054.1234,71.11,88.56,94.7,87.32,69.33,99.63,19.83,19.82,97.59,63.11,69.1,99.81,100,3.76,0.04,46.68,33.44,79.54,80.28,1.34,7.58E+11,3889367.19
61,eez,156,Tokelau,TKL,321242.3298,79.41,76.94,91.8,53.31,74.66,71.51,32.15,32.15,75.32,54.64,66.59,80.39,89.28,0,0,0,27.32,78.55,83.36,0.38,3.27E+11,2285930.81
62,eez,157,Phoenix Group,KIR,748008.706,61.78,87.16,100,0,97.97,68.84,69.08,69.08,96.64,60.92,80.67,74.66,80.47,100,0,0,80.46,77.68,74.23,-0.96,7.46E+11,3357076.896
63,eez,158,Howland Island and Baker Island,UMI,437861.7836,86.65,89.05,100,0,97.91,0,85.38,85.38,100,57.17,89.6,0,0,100,0,0,78.58,78.11,0,-0.36,4.34E+11,2384043.304
64,eez,159,Johnston Atoll,UMI,445116.5269,93.71,84.16,75.5,0,75.25,0,50.59,50.59,92.26,56.71,76.26,0,0,100,0,0,78.35,76.06,0,-0.63,4.78E+11,2461294.722
65,eez,16,Australia,AUS,6956845.813,98.21,93.39,89.4,92.92,81.33,100,48.89,40.2,94.48,84.95,79.74,95.62,91.23,100,12.41,53.63,92.48,92.29,60.19,0.07,9.15E+12,49999756.97
66,eez,161,Wallis and Futuna,WLF,262863.5972,64.92,89.81,100,0,92.54,72.79,68.84,68.84,98.48,74.84,77.4,81.04,89.28,0,0,0,37.42,81.15,84.65,0.64,2.76E+11,2345358.898
67,eez,162,New Zealand,NZL,4106953.907,95.73,87.94,68.64,64.64,79.13,100,67.97,72.29,90.16,61.74,78.94,100,100,65.21,100,57.52,63.48,85.71,100,-0.43,7.80E+12,34211683.02
68,eez,163,United States,USA,8591243.712,100,79.33,75.22,61.6,74.6,99.91,68.47,66.77,75.66,69.86,68.89,77.8,55.69,74.74,13.29,36.3,72.3,83,45.01,-0.87,2.19E+13,118306519.6
69,eez,164,Belize,BLZ,36249.8346,72.65,75.8,23.57,38.85,66.15,100,39.78,40.42,61.32,68.64,63.21,100,100,100,47.05,31.46,84.32,90.28,98.86,-0.02,39672514649,1116989.03
70,eez,166,Jamaica,JAM,246488.4477,60.46,82.36,51.67,99.07,43.23,88.69,25.31,25.31,79.01,68.81,60.62,79.89,71.09,84.02,0.01,0.5,76.41,85.72,87.32,0.14,2.69E+11,2788454.987
71,eez,167,Guyana,GUY,136909.9721,58.57,91.3,89.5,89.47,74.49,98.63,15.99,15.98,96.98,69.35,61.98,69.34,40.06,17.96,0.43,0,43.65,85.62,25.53,-0.06,1.42E+11,1704877.96
72,eez,168,Suriname,SUR,128363.0118,71.11,91.9,99.74,99.74,76.89,75.3,18.48,18.47,99.87,71.96,68.07,85.75,96.2,100,0.39,39.73,85.98,83.93,11.38,-0.49,1.30E+11,1706026.062
73,eez,169,French Guiana,GUF,136563.7759,70.41,93.74,100,100,83.16,32.26,34.91,34.91,100,77.69,71.64,47.4,62.55,100,0,0,88.84,87.49,26.32,0.18,1.38E+11,1682716.144
74,eez,17,Papua New Guinea,PNG,2407382.253,53.61,87.77,88.73,83.48,65.2,100,66.78,66.78,92,59.71,59.24,100,100,9.41,0.01,7.28,34.56,83.53,5.01,-0.54,2.45E+12,16283804.65
